CustomerID,Recency,Frequency,Monetary,Diversity,Cluster,Segment
12346,326,1,77183.6,1,1,Lost / At Risk
12347,2,7,4310.0,103,3,Champions
12348,75,4,1797.24,22,1,Loyal Customers
12349,19,1,1757.55,73,1,Potential Loyalists
12350,310,1,334.40000000000003,17,2,Lost / At Risk
12352,36,8,2506.04,59,3,Champions
12353,204,1,89.0,4,2,Lost / At Risk
12354,232,1,1079.4,58,1,Lost / At Risk
12355,214,1,459.40000000000003,13,2,Lost / At Risk
12356,23,3,2811.43,53,1,Champions
12357,33,1,6207.67,131,1,Potential Loyalists
12358,2,2,1168.06,13,0,Champions
12359,58,4,6372.58,214,1,Loyal Customers
12360,52,3,2662.06,105,1,Loyal Customers
12361,287,1,189.9,10,2,Lost / At Risk
12362,3,10,5226.2300000000005,201,3,Champions
12363,110,2,552.0,23,2,Lost / At Risk
12364,8,4,1313.1,70,0,Champions
12365,291,2,641.38,22,2,Lost / At Risk
12367,4,1,168.9,11,0,Potential Loyalists
12370,51,4,3545.69,143,1,Champions
12371,45,2,1887.96,63,1,Champions
12372,72,3,1298.04,34,1,Loyal Customers
12373,311,1,364.6,14,2,Lost / At Risk
12374,25,1,742.9300000000001,33,0,Potential Loyalists
12375,11,2,457.5,14,0,Potential Loyalists
12377,315,2,1628.1200000000001,72,1,Loyal Customers
12378,130,1,4008.62,219,1,Lost / At Risk
12379,82,2,852.24,39,1,Loyal Customers
12380,22,4,2724.81,77,1,Champions
12381,5,5,1845.31,70,3,Champions
12383,185,5,1850.56,84,1,Loyal Customers
12384,29,2,585.27,26,0,Potential Loyalists
12386,338,2,401.9,10,2,Lost / At Risk
12388,16,6,2780.6600000000003,57,3,Champions
12390,80,1,549.84,32,2,Lost / At Risk
12391,22,1,460.89,92,0,Potential Loyalists
12393,72,4,1582.6000000000001,47,1,Loyal Customers
12394,64,2,1272.48,26,1,Loyal Customers
12395,19,12,3018.63,91,3,Champions
12397,36,2,2409.9,110,1,Champions
12398,46,1,1635.6599999999999,85,1,Potential Loyalists
12399,119,4,1108.65,47,1,Loyal Customers
12401,303,1,84.3,5,2,Lost / At Risk
12402,323,1,225.60000000000002,11,2,Lost / At Risk
12403,50,1,427.7,5,2,Potential Loyalists
12405,149,1,1710.39,54,1,Lost / At Risk
12406,22,2,3415.3,92,1,Champions
12407,50,5,1708.12,57,1,Champions
12408,33,5,2888.55,81,1,Champions
12409,79,3,11072.67,91,1,Loyal Customers
12410,309,2,693.33,26,2,Loyal Customers
12412,75,3,1226.88,43,1,Loyal Customers
12413,67,3,758.1,29,1,Loyal Customers
12414,217,3,562.4100000000001,16,2,Lost / At Risk
12415,24,21,124914.53,444,3,Champions
12417,3,9,3649.1,158,3,Champions
12418,113,1,668.58,34,2,Lost / At Risk
12420,64,1,600.39,29,2,Need Attention
12421,16,4,807.04,32,0,Champions
12422,96,3,803.5600000000001,39,1,Loyal Customers
12423,1,8,1859.31,97,3,Champions
12424,163,2,1760.96,30,1,Loyal Customers
12425,78,1,777.2,36,1,Lost / At Risk
12426,195,1,582.73,30,2,Lost / At Risk
12427,22,3,825.8000000000001,26,0,Champions
12428,26,9,7956.46,258,3,Champions
12429,9,4,3750.4,82,3,Champions
12430,43,1,256.4,11,2,Potential Loyalists
12431,36,15,6487.45,163,3,Champions
12432,43,5,5059.32,107,1,Champions
12433,1,7,13375.87,219,3,Champions
12434,85,2,806.14,46,1,Loyal Customers
12435,80,2,7829.89,31,1,Loyal Customers
12436,100,1,509.01,16,2,Lost / At Risk
12437,2,18,4951.41,118,3,Champions
12438,14,2,2906.85,84,1,Champions
12441,367,1,173.55,11,2,Lost / At Risk
12442,3,1,172.06,12,0,Potential Loyalists
12444,21,5,5005.46,138,3,Champions
12445,22,1,133.4,4,2,Potential Loyalists
12446,58,1,1002.3100000000001,57,1,Need Attention
12447,243,1,476.49,26,2,Lost / At Risk
12448,44,1,449.45,22,0,Potential Loyalists
12449,22,4,4067.29,118,3,Champions
12450,156,2,197.88,7,2,Lost / At Risk
12451,11,5,9035.52,265,3,Champions
12452,17,2,430.57000000000005,21,0,Potential Loyalists
12453,134,1,707.09,43,1,Lost / At Risk
12454,56,1,3528.34,15,1,Need Attention
12455,73,6,2466.86,85,1,Loyal Customers
12456,44,3,3181.04,105,1,Champions
12457,66,7,2363.23,53,1,Loyal Customers
12458,71,2,947.4,35,1,Loyal Customers
12461,94,2,826.88,35,1,Loyal Customers
12462,19,2,1189.59,51,0,Champions
12463,53,4,1344.78,65,1,Loyal Customers
12464,10,8,1212.05,6,0,Champions
12465,17,2,742.19,46,0,Champions
12468,188,2,729.54,36,1,Loyal Customers
12471,2,30,19824.05,150,3,Champions
12472,32,7,6572.11,219,3,Champions
12473,29,5,3938.55,140,3,Champions
12474,17,18,7375.79,253,3,Champions
12475,54,1,723.38,36,0,Need Attention
12476,16,11,6816.42,177,3,Champions
12477,23,6,13219.74,191,3,Champions
12478,4,1,680.99,36,0,Potential Loyalists
12479,11,1,527.2,31,0,Potential Loyalists
12480,28,4,3281.63,129,1,Champions
12481,23,10,5596.32,150,3,Champions
12483,17,8,2484.98,46,3,Champions
12484,33,6,4541.72,256,3,Champions
12488,10,3,1298.66,46,0,Champions
12489,336,1,334.93,15,2,Lost / At Risk
12490,5,10,5417.93,131,3,Champions
12491,39,1,460.40000000000003,25,0,Potential Loyalists
12492,63,2,263.21000000000004,19,2,Need Attention
12493,166,2,433.74,20,2,Lost / At Risk
12494,16,7,1246.1,63,3,Champions
12497,82,1,1043.1,14,2,Lost / At Risk
12498,21,3,403.70000000000005,21,0,Potential Loyalists
12500,23,11,4257.82,34,3,Champions
12501,337,1,2169.39,149,1,Lost / At Risk
12502,96,5,3723.87,102,1,Loyal Customers
12504,18,2,482.04999999999995,6,0,Potential Loyalists
12506,233,1,73.5,23,2,Lost / At Risk
12507,134,3,1304.81,19,1,Loyal Customers
12508,26,2,398.27,57,0,Potential Loyalists
12509,284,1,176.5,7,2,Lost / At Risk
12510,143,2,982.5699999999999,29,1,Loyal Customers
12512,66,2,138.03,31,2,Need Attention
12513,113,1,612.29,35,2,Lost / At Risk
12514,267,1,1017.6800000000001,51,1,Lost / At Risk
12515,353,1,383.7,16,2,Lost / At Risk
12516,78,2,1312.06,20,1,Loyal Customers
12517,28,5,2502.84,232,3,Champions
12518,1,5,2056.89,84,3,Champions
12519,64,1,340.84000000000003,17,2,Need Attention
12520,79,5,2634.26,121,1,Loyal Customers
12521,143,1,599.68,38,2,Lost / At Risk
12522,39,2,192.72,11,2,Potential Loyalists
12523,19,11,1789.77,84,3,Champions
12524,9,8,4485.72,113,3,Champions
12526,1,3,1316.66,64,0,Champions
12527,82,3,348.71000000000004,18,2,Lost / At Risk
12528,9,6,1933.48,50,3,Champions
12530,60,4,1662.28,51,1,Loyal Customers
12531,15,1,125.22,17,0,Potential Loyalists
12532,30,1,349.83000000000004,16,0,Potential Loyalists
12534,131,1,1089.18,63,1,Lost / At Risk
12535,92,2,716.35,28,1,Loyal Customers
12536,43,3,12601.830000000002,260,3,Champions
12538,29,1,363.95,21,0,Potential Loyalists
12539,22,4,5568.35,157,3,Champions
12540,20,17,13400.24,277,3,Champions
12541,30,3,981.18,46,1,Champions
12544,36,1,372.7,19,0,Potential Loyalists
12545,75,2,1000.39,42,1,Loyal Customers
12546,47,2,1161.5,59,1,Champions
12547,198,2,207.8,7,2,Lost / At Risk
12548,166,1,95.19999999999999,5,2,Lost / At Risk
12550,79,1,964.83,57,1,Lost / At Risk
12551,358,1,168.0,10,2,Lost / At Risk
12552,39,2,437.82,20,0,Potential Loyalists
12553,8,10,3692.28,95,3,Champions
12556,50,2,603.71,100,1,Potential Loyalists
12557,16,5,11990.960000000001,15,3,Champions
12558,8,1,269.96,11,0,Potential Loyalists
12559,311,2,561.71,21,2,Lost / At Risk
12560,5,3,2134.01,91,3,Champions
12561,303,1,238.85,16,2,Lost / At Risk
12562,8,7,3781.7400000000002,99,3,Champions
12564,261,1,456.90000000000003,21,2,Lost / At Risk
